"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on July 27, 2022","John Locke","yes","yes","Great Quality, Many Improvements On Previous Design","I have liked the camera so far. I think they made several improvements on their previous model that I used, although some may not be preferred.TLDR; I like it a lot, I would change some things, but they are mostly personal preferences over general user needs.Pros:Camera and microphone quality are great.The initial startup of the camera is a lot more helpful.When you disconnect the camera from the mount, it saves before powering off, so you do not lose the last recorded video.Video clips made are now 5 minutes instead of 20 minutes, and saved to a different folder with a button press or voice command, which makes finding saved moments the intended way easier. With my last camera I would end recordings early to make them easier to distinguish.The buttons are easier to use when driving.It is easier to remove from the mount, since it is just a slide on with no latch mechanism. I wonder if this will hold in an accident, but I am not worried about losing the previous video from it losing power, so it is not a big deal.The phone app is convenient, and I like that the computer app is not needed for convenient video access with computer.Support on Facebook is still very helpful and will do their best to assist you with whatever the issue is.The manual is clearer on some things I asked support about previously, such as if 1 or 5 is the high for the G-Sensor.Cons:In order to get direct file access connecting to the computer, you need to use the USB-C cable that comes with the camera. I just happened to have 3 other cables for other devices, all of which were just black cables, so that was confusing for a bit. I would recommend adding some color to it somewhere to make it more identifiable.Event folder videos will overwrite each other if there is no open recording space. I can see why this is a thing, but also it is risky if you do not move videos off frequently. This is somewhat mitigated by the format reminder, which is new.The camera does not swivel at all. As a plus, you don't have to worry about the angle changing when hitting a button or a bump or another car, but also you cannot change it if something is happening just off camera.It is easy to accidentally set the time wrong when you first set it up without realizing that it uses military time, ie 6PM = 18. It is an embarrassing mistake, but it took me a while to figure out why my dates and times were off.Both:They recommend using one of their SD cards. I used the one I already had with no issues, although I would like if there were an option to add it to the Amazon order, since I didn't realize about theirs until reading the manual.The manual is a bit long, but well written for the most part. The only big change I would make is adding the voice command list in the manual. It references the voice commands, but the list of commands may only be found in the camera menu itself. I figure this may be because the camera may update in the future, and the manual if saved would not update.It includes and adhesive piece for attaching the camera mount, which is good and I did not have it come loose at all. However, wherever you put it is where it will stay indefinitely, so decide well. There are two though, so you get a redo. I would have preferred if the mount were two pieces, so that you may have more than one mount location, but that would also be more expensive.The voice commands are a great addition, since it lets you control the camera with less risk of affecting your driving. Most worked for me and both the camera and remote microphones pick up well, however I could not get a couple voice commands to work ever. Not sure if it is an accent or enunciation thing, but I never got them to work.",5,"https://m.media-amazon.com/images/I/71WmcCGgAJL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1T9VAHU4A0DLE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 17, 2022","Lizandra Perez","yes","yes","Small dash camera with a great power","Vatrue E1 Dash Camera supports wifi connection to the Vantrue mobile app and the camera also allows voice control.Vantrue is taking seriourly the dashcam market. The camera package feels nice. I added an unbox video for the content:- The Vantrue E1 dashcam- A magnetic mount. Very convinient if you want to take the camera with you and connect it to your PC.- A 12V car charger- A USB C cable. It's mainly use for data transfer to your PC.- 2 Electrostatic stickers. Apply the sticker in your widshield and the use fix the camera mount. Don't try to fix the camera mount directly to the widshield.- A wireless remote control. It's has the option to mute/unmute audio, lock the video, and take a picture if you hold the lock video button.Also we may found in the box:- Some warning stickers: Protected by Vantrue- A soft cloth. Convienient at the time before fix the electrostatic sticker in the windshield.- A crowbar to hide the cable.- The user manual. Please, read it first!My experience with the E1 camera.What I liked:- Small size. It doesn't block your field vision and you get less distracted. You can use a voice command 'Turn off screen' to turn the screen off and reduce any kind of distraction.- Wifi connection with the Vantrue App. It's the best option to look at the videos and play them using your mobile. It's easy to use and the app do not ask to create an account to use this feature.- Night videos are amazing. This is one of the strong features.- The remote control. You can stick it in your steerwheel and have the most common function you may need when you are driving: mute the camera, lock the video or take a picture.- Voice control feature. Do not requiere a voice activation command, only say ""take photo"" and it will perform the operation. The commands I have tested with are:""Lock video"", ""take photo"", "" turn off screen"", "" mute camera""The voice command are available also if you have muted the camera.What I think Vantru should do better:- Give a list of the possible voice command. It has been a discovering process found the commands.Who you should get this camera?If you are in a marked looking a camera with a high resolution: (2592 x 1944P 30 FPS), a wide angle of 160 degrees, a nice quality night videos f1.8 plus the extra of having a voice control, a remote control and wifi app, Vantrue E1 offers a good product.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1AHV3LLHNOE2P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on August 11, 2022","JesseRPI","yes","yes","Died in less than 1 week","I really liked this dash cam for the first week, before it died. I had it hooked up to a high capacity battery in my car to run continuously for up to 4 days, and my car mostly sat in the garage during this time, where the temperature didn’t go above 90° F, except for daily trips to do errands (outdoor temperature between 88 and 97° F).Picture quality was outstanding using the 1440p setting, and it detected events based on motion detection (vs. impact., although it has both).Unfortunately, after the first week, I noticed the recording light start to blink off occasionally, and checking the recordings confirmed that it was skipping multiple minutes, or sometimes an entire trip, essentially rendering it useless.Additionally, I could not get it to connect to the app even once, spending over an hour trying different settings, airplane mode with wi-fi enabled, etc. But the deal-breaker was that it stopped reliably recording.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2ICLQ5FD0JMON/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 4, 2022","R. Kavuri","yes","yes","The app is great","The dashcam is a nice upgrade over previous Vantrue dashcam models given how compact it is.- [ ] The new iOS app shows GPS information along with the video- [ ] All dashcam settings are available through the app- [ ] The dashcam can overlay GPS and speed information on the video too- [ ] Another upgrade is the provided electrostatic stickers that makes it easy to move the dashcam between carsIf there is anything I could ask further it would be to add some battery capacity to the dashcam to record videos on impact in parking mode, right now the parking sensor will work only if there is an active power source available",5,"https://m.media-amazon.com/images/I/51FOgr6ReSL.jpg , https://m.media-amazon.com/images/I/616FJH1Y3eL.jpg , https://m.media-amazon.com/images/I/619pUlJiXJL.jpg , https://m.media-amazon.com/images/I/8130xCMVPPL.jpg","-","https://www.amazon.com/gp/customer-reviews/RSO5XNX95KW7G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 24, 2022","KC","yes","yes","The Best Mini-Dash Cam you can buy? I think so.","I purchased the Vantrue E1 almost a month ago and was unsure of what I was getting into because when it arrived, it is very small. I was surprised at how solid the box felt and as such, the dash cam was also a solid feeling device, not plasticky or of poor quality like the previous dash cam I was using.Installation of the E1 is a snap with the included cables but I highly recommend the Vantrue Hardwire kit which allows you to easily and quickly hide your wires and run power to the fusebox. It's cheap and a much better way to install your dash cam.Video on the E1 seems to go on forever with the 64GB card I purchased. I don't know how many hours fit on one card but it has lasted me weeks with my relatively short drives to work. They must use excellent compression on the video to make it last so long. The video also looks excellent as you can see in the many other videos people have provided. The included GPS sensor is a big plus for me and although I'm not sure how necessary it is now, that is the reason I upgraded to the E1 from my old system.Living in the city, I am often worried about someone breaking into the car and taking the dash cam but I feel like the E1's small size makes it hard to notice and less likely to get stolen. When I am really worried about it, I simply pull it down because it attaches with a really slick magnetic slide system that allows you to simply pop it off and put it in the your center console in seconds.In the end, I highly recommend the Vantrue E1 because it is so small so I feel like it is unlikely to get noticed and stolen if I leave it attached, the picture quality is outstanding and it was so easy to install. I am very happy with my upgrade. Great job Vantrue!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R6NP9M43XZ4XI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 1, 2022","Spin215","yes","yes","Great little dashcam.","I have used several dashcams before and this is definitely one the top ones. It is nice and compact. The screen has excellent resolution. The dashcam also records cabin audio which is a feature in which I do not need but can easily be turned off. Mph display on the screen is something new to me, and is a nice bonus. For me the most important thing is that it records at a high resolution in a very small form factor so it is hardly noticeable while driving. I recommend this dashcam.",5,"https://m.media-amazon.com/images/I/51DbIhBKkLL.jpg , https://m.media-amazon.com/images/I/61BNvJvghVL.jpg , https://m.media-amazon.com/images/I/81MyWpwumPL.jpg","-","https://www.amazon.com/gp/customer-reviews/RSYWJZDKKYZOT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 28, 2022","Josiah","yes","yes","NO CUSTOMER SUPPORT","If you’re in the market for a dashcam this one has too many issues with the app and when you try to view to recording on your laptop the files have to be decoded. Super complicated and Customer Support does not respond. I’m returning mine after trying for 3 days.",1,"https://m.media-amazon.com/images/I/41FOQwdJvoL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3ALWM3Z57SEX9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 11, 2022","Bulent Geckin","yes","yes","A state-of-the-art camera","- Everything you need is included in the package offered.- The image quality is excellent, and the resolution alternatives offered- It's a fantastic feature to be controlled by voice.- As a long-time N2 Pro user of the same brand, I already trusted the brand and I liked this product very much.- Having 512GB storage support is great, I'm using it with the 256GB card I have right now and it's very nice to have over 30 hours of video storage at the highest quality. 2 hours of driving per day means more than 2 weeks of recording time. Of course, it is also a nice feature that it overrides old records by itself.-It is a very good development to watch live or existing recordings on a smartphone at any time by activating WI-FI and configuring the camera via smartphone.",5,"https://m.media-amazon.com/images/I/51BgmRV8YpL.jpg , https://m.media-amazon.com/images/I/51PDPJEbQ-L.jpg , https://m.media-amazon.com/images/I/61l31FmEeeL.jpg , https://m.media-amazon.com/images/I/71C6LJHGePL.jpg , https://m.media-amazon.com/images/I/71lND+CqqyL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2A3PC7QGR6GBY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on May 2, 2025","Jung","yes","yes","Works great with USB-C power on my 2025 CX-30","I drive a 2025 Mazda CX-30, which does not support ACC or a cigarette lighter port, and I didn’t want to use parking mode due to battery drain concerns.After a lot of searching, I found that the Vantrue Element 1 Lite works with USB-C power, but only with the special USB-C cable they provide.I reached out to Vantrue support (make sure to contact them via their support email), and they were kind enough to send me the correct cable.I can confirm that the camera now runs perfectly using only my car’s USB-C port.I’m really satisfied with the performance and grateful for Vantrue’s help.If you’re in a similar situation, this setup is definitely worth considering.",5,"https://m.media-amazon.com/images/I/61SOIh16bGL.jpg","-","https://www.amazon.com/gp/customer-reviews/R652JPU9XWP1R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0BGGGG4VW","Color: Black"
"Reviewed in the United States on June 29, 2022","Dynamiclynk","yes","yes","Very powerful a versatile dash camera.","I have another dash camera by Vantrue and they make quality products. This new model I purchased is perfect because of the size, the video resolution and product quality.Have peace of mind when driving and  looking for a great dash cam this is a perfect one.",5,"https://m.media-amazon.com/images/I/617z5obe5ML.jpg , https://m.media-amazon.com/images/I/619OGJxyuJL.jpg , https://m.media-amazon.com/images/I/61mGBAexkLL.jpg , https://m.media-amazon.com/images/I/61nAHwE2aTL.jpg , https://m.media-amazon.com/images/I/61ocd8MyAkL.jpg , https://m.media-amazon.com/images/I/71HmnYpHLKL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3KROPOLZPBUM9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
