"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on August 24, 2022","IT Guy","yes","yes","Not ready for prime-time - updated review","08/26/22 update - after some fairly annoying back & forth with Vantrue support, it's confirmed that when power to the camera is cut off (e.g. you've turned off your car), the camera shuts down completely.  So, unless you hardwire it to CONTINUOUS 12v power, the camera will shut down when you turn off the car, and you will have no video coverage should someone bang into your car.  The supercapacitor mentioned in the product description does absolutely nothing to provide power in the event of something like a bump to the car or motion in its field of view regardless of which parking mode you have selected.08/23/22 - Purchased on 08/18/22 to replace an existing dashcam in my wife's car.  Spent the last few days doing some prep and waiting for some parts (e.g. split loom to protect the cable to the rear camera, 256GB mSD card, etc.) before I begin the install process.  In the meantime, I took the opportunity to update its firmware & bench test the camera before moving ahead, and discovered a few issues (at least with the unit that I received) and those of you that have purchased it may want to check your units to see if you have the same issuesTo save a lot of summarizing, I've pasted the message that I sent to Vantrue (please excuse the typos, I had to retype it several times because of site timeouts), via the form on their website, below.  I will update this in response how it's handled.--- start of message to support ---Hi,I purchased an E2 dash cam through your Amazon store and have encountered an issue with it.The E2:- is updated to the H042 firmware version,- was reset to factory defaults after the update, and- has a SanDisk 128GB high-endurance microSD that was reformatted by the E2 after the update/Currently, the E2 has the following settings configured:- Auto LCD Off - set to [Off]- Parking Mode - set to [Collision Detection] with all sensitivities set to [5]- Low-light Night Vision in Parking Mode - set to [On]Symptoms:#1 - When a continuous USB-C power source (using the Vantrue-supplied USB-A-to-USB-C cable) to the power input of its windshield mount, the camera will:- display the message [The dashcam is about to shut down and enter collision detection mode] after ~5 minutes, then- go idle - but it moving or tapping the camera will wake it up and trigger its collision mode.#2 - Disconnecting the E2 from the power supply:- causes it to shut down completely, and- it does not wake when moved or firmly tapped with a finger or pen (to simulate a collision when disconnted from continuous power.)Problems/questions:#1 - why is the camera going into its [collision mode] even when connected to continuous power, and how do I stop this behavior?#2 - why is the camera powering down and unresponsive after continuous power is disconnected?  What purpose does its super-capacitor serve, if not to enable the [collision detection] recording when the vehicle is parked & off?Is this unit defective and, if so, how do I get this rectified?",1,"-","-","https://www.amazon.com/gp/customer-reviews/RTPOGE601RES5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 15, 2022","bsf","yes","yes","My long, tortuous and sad journey with vantrue","Update 9/17/2002: After weeks of tests, everything points that the problem is the hardwire kit being extremely picky with my 2002 accord hybrid. I will be testing the new hardwire kit and updating the review with the new results. Upgraded the rating from 1 to 3 stars pending the results of the new tests. Kudos to the company for sticking with me and try to find a solution.Update 8/31/2022: Vantrue has been very proactive, trying to fix the problem. They sent an evaluation unit, and I've been interacting with them to try to pinpoint the problem. I need to give them credit for not abandon me, and continuing support. It is rare when a company tries really hard to improve their products. I will update again once the problem its identified.Original post: Lets first start with the TL/DR version:-If you live in a hot area (Texas, Arizona... you get the idea), hardwire this camera (using the OEM venture hardwire accessory) and turn on the low bitrate recording for parking mode... it will FAIL because the camera overheats under the sun, then shutdowns, forcing you to manually turn back the camera on.Now, the long version:My journey started like anybody else... 'hey, I bought a new car, since I love my new car, I'll buy a camera to protect my investment and my hard-earned money'. Then I saw the vantrue cameras, and they had a good deal, because Prime day, there was a nice offer. For $178, the Vantrue X4S duo seemed a good buy. Another $25 for the GPS mount, plus $25 for the hardwire kit, plus an obscene $55 for a vantrue sd (sandisk cost around $35 for the same endurance card). Installed everything, then my nightmare started. Every morning I drove to work, parked on the parking lot, when I returned the camera was kaput. Turned back the camera on, hoping the next day it was fixed. Nothing. I contacted support. Because they are based in China, they respond your emails usually the next day. After 20+ emails and several firmware versions/patches installed in the camera, the same outcome. I decided to return everything.Now, because I'm masochist, I decided to give it an opportunity to the E2 (element 2) camera. basically the same price of the X4S duo, but the main camera plus the rear one are 2K resolution (compared with the 4k front + 1k back on the X4s). As soon as I turned on the camera, a message comes to the screen ""FOR HIGH TEMPERATURE PLACES, ITS RECOMMENDED THE COLLISION DETECT FOR THE PARKING MODE"". So they know their cameras shuts down when the heat ramps up, but they wont automatically resume when temperatures drop down. UPDATE: sure enough, today was 101 F over Houston, the camera shuts down. When the temperature dropped, the camera stayed off. Required manually to be turned back on.There is some little improvements over the X4s-now GPS mount is included-the mount is magnetic, easier to remove the camera-the firmware is less confusing than the one in the X4s, with big icons-a little heavier than the X4s, feels a little more solidSo, buy this camera if:-you wont use the hardwire kit to keep the camera constantly recording when you turn off your car-you park your car on a covered garage, or you live underground in a cave (think Batman) or on the north/south pole. Siberia could work.-you are Ubering, and the temperature inside the cabin its not high because your poor car is working day and night moving people from one place to another.If you live in an area where a typical day is over 100F, look somewhere else. You are warned.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R39VNJPGXB6C7E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 18, 2022","RedShiftRider","yes","yes","This Thing Feels 6 Years Old","There’s plenty of dashcam options out there for less than half the price that blow this thing out of the water.My previous dashcam (Kingslim D4 dual cam) that I bought 3 years ago finally failed.I settled on this camera as a replacement. It was the only camera with app functionality, dual cameras, and seemed like a decent design.I decided to return the camera 2 minutes after opening it. I can’t believe how old and outdated this thing feels. The screen is tiny, and it’s not a touch screen. The 4 hard buttons on the bottom of the camera used to navigate the menus are extremely hard to find. And very frustrating to use. Changing settings in the menus is unnecessarily difficult and clumsy.My previous camera had touch screen capability and was much easier to use. And much more user friendly. All around easier, better in basically every way. Not to mention that this camera is twice the price for no reason at all. Again, the Kinglism was purchased over 3 years ago, and this camera feels much older than that one. Although the seller says it was just released in Aug. 2022.This camera was $250 minus a $50 coupon. My old Kingslim was $100 for exactly the same features - dual cameras, app connectivity - and a bigger, more user friendly touch screen. There’s absolutely no reason this camera should be priced at over $200. It possesses no features that justify that price.On top of that, when I tried to download the app, it has a 1 star rating with everyone complaining the camera will not connect to the app after a recent update.I’ve attached a photo of this camera next to my old 3 year old camera for size reference.I’ve returned this and gone with a different option.",2,"https://m.media-amazon.com/images/I/71LbW4V2flL.jpg","-","https://www.amazon.com/gp/customer-reviews/R34HEW6CGA8FLT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on May 29, 2025","Clif. Brownlee","yes","yes","Don’t know if it’s safe.","So I’ve owned this camera for two years. I notice at about a year and a half I started getting an error message stating I had an error in the as card so I would have to restart it and it would be fine. Now I have a very good and card but last week I got into my car with the dash cam front screen broken and a piece of it in my center console. Now these cameras are designed to be in a car for extended periods so I was not worried about heat messing with it. But I was wrong the unit had swelled so bad that it cracked the front screen and warped the entire camera. I really liked the camera when it was working but now I’m afraid to purchase another in fear that my car may catch fire due to the unit exploding. I’m not sure if this unit has a battery inside cause I purchased the hardwired kit to keep it running all the time for parking mode. All in all I don’t think I could trust this brand again unless I have a faulty unit. Really disappointed.",1,"https://m.media-amazon.com/images/I/71-NcZuo4FL.jpg , https://m.media-amazon.com/images/I/71D6pB7exxL.jpg , https://m.media-amazon.com/images/I/71iyBPXg4rL.jpg , https://m.media-amazon.com/images/I/71wpKl09fYL.jpg , https://m.media-amazon.com/images/I/818-3EuKxnL.jpg","-","https://www.amazon.com/gp/customer-reviews/RJ6JI0SEBMPM3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 27, 2022","Matt","yes","yes","Great Wifi Dashcam for the price","Installation and first impression- Everything needed to mount this camera is included in the box, making it easy to install.- Packaging was very friendly and sturdy, ensuring the contents would not be damaged during shipping.- The design is very sleek. The front camera reminds me of a compact GoPro, while the back camera reminds me of a desktop webcam.- The cigarette-mounted power supply has a USB port, so you don't lose a spot to charge other devices like your phone.- Electrostatic sticker is a great option for installion, I always hated 3m tape directly to the window, with this setup, no more residue if I want to remove it in the future.Features- Comes with a wireless hotkey button that you can mount anywhere. This button allows you to initiate voice commands and start an emergency video capture and snap photos. I chose to mount my next to the ignition for easy access. This is much better than fumbling to press the small emergency event button on the dashcam. Voice commands are a great addition since it lets you control the camera with less risk of affecting your driving. Most worked for me, and the microphones picked up my voice well.- 2k recording on both front and rear cameras, a sample image of both in the attached review. Remarkable in both night and day recordings. Decent for license plate recognition.- 5GHz Wi-Fi connectivity is faster and more reliable than 2.4 GHz, but it includes both for easy connection from phone to dashcam. The 5GHz connection allows for faster transfers of video clips from the dashcam to my phone.- Nice large LCD color screen, which is helpful for settings the camera and reviewing the footage if needed.- The dashcam is removable, which is great for high-risk areas like the SF bay area.- Comes with a GPS module that can record your speed and display it on the recordings, which can be helpful when getting a speeding ticket to prove innocence- UI is very intuitive and user-friendly; everything is laid out very well for easy navigation.OverviewThis camera has many features that can go head to head with many higher-priced market units. The little cameras can be attached to your front and rear window in minutes and can save you a boatload of money with video evidence in the event of an accident; having both front and back helps document the entire accident. I can highly recommend this camera to anyone looking for one.",5,"https://m.media-amazon.com/images/I/61xfuJq-RoL.jpg , https://m.media-amazon.com/images/I/71BRIxVFmbL.jpg , https://m.media-amazon.com/images/I/71KlLSFQXJL.jpg , https://m.media-amazon.com/images/I/71NoEuRLD+L.jpg , https://m.media-amazon.com/images/I/71R4lmmjlFL.jpg , https://m.media-amazon.com/images/I/71oKdJ5OeQL.jpg , https://m.media-amazon.com/images/I/8161CN5Fu4L.jpg , https://m.media-amazon.com/images/I/81FWGt5zD7L.jpg , https://m.media-amazon.com/images/I/81z0UC9NvnL.jpg","-","https://www.amazon.com/gp/customer-reviews/RM33O6O3ECC3K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on May 20, 2025","Amazon Customer","yes","yes","Rear Camera Died, Customer Service Refused Replacement","This was the second vantrue front/rear camera system I have installed. First one worked great for years, this one not so much. First couple months everything worked fine then one day realized rear camera wasnt turning on. Soon after the front camera would only turn on in motion monitoring mode and stopped recording all together.I troubleshooted everything connection wise since it was hardwired into the fuse box. Plugging it in to the dash12v outlet, checked it with a multimeter. Nothing fixed it. Here's where it gets interesting.Contacted vantrues customer service for a warranty replacement. Over series of emails back and forth with basic suggestions on troubleshooting no progress was being made. They eventually told me that it was not eligible for warranty replacement since I had purchased it through a third party vendor- Amazon. Vantrue is listed as the seller on my invoice which so kindly circled for me. They also obviously have a store page on Amazon with easy to find links detailing their warranty policies....on Amazon!I eventually got this refunded through Amazon customer service even through it was beyond the return window- thank you! But I'm done buying from vantrue. You have been warned, this company will be quick to answer your emails but will do everything they can to avoid honoring their warranty policy since apparently any Vantrue product purchased on Amazon is ineligible for their warranty. Never again. Wish Garmin made a front/rear camera combo....",1,"-","-","https://www.amazon.com/gp/customer-reviews/R19V6Z6P7HOD5B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on June 21, 2025","Enr Videography","yes","yes","CHEAP BUILD QUALITY! IT WILL MELT!!","This has been a great dash cam for the past 2 years, unfortunately it is not built to last. As you can see in the pictures, this camera is made from plastic and has deformed over time. Now a little after two solid years… it no longer works!!I live in San Diego and it’s not as hot as other places!!",1,"https://m.media-amazon.com/images/I/61TfZj3GZRL.jpg , https://m.media-amazon.com/images/I/61mBKOvUPDL.jpg , https://m.media-amazon.com/images/I/61sWLKlY26L.jpg , https://m.media-amazon.com/images/I/71n93ZCpmIL.jpg","-","https://www.amazon.com/gp/customer-reviews/R15K7NMVW75DVP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 14, 2022","Zee","yes","yes","Outstanding!!!","Everything and more from a dashcam. So far so great. It's really well-rounded from the app to the video quality. The set up was easy for someone who isn't high-tech and the directions were clear and understandable. I appreciate being able to see the view of both the front and the back when i need to and being able to upload your videos to your phone is a huge perk. Simple and smooth. The mini remote for bookmarking is clutch for when things come up and you want to lock down your video. Furthermore, I feel it will come in handy if I ever get pulled over by the police and can turn on the audio when I need to.",5,"https://m.media-amazon.com/images/I/51KFIhOck7L.jpg , https://m.media-amazon.com/images/I/61+E+MIRKBL.jpg , https://m.media-amazon.com/images/I/61PXE5niMfL.jpg , https://m.media-amazon.com/images/I/61yQInj4joL.jpg , https://m.media-amazon.com/images/I/61yg5ICgwNL.jpg , https://m.media-amazon.com/images/I/712FM8DzvGL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1XMYVN70UXCZ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on May 27, 2025","Javier labra","yes","yes","Faulty camera, bad service.","Reconsider choosing this camera and brand. Mine is broken and I have zero answer from customer service regarding a warranty.  Worked fine when it worked. Unfortunately I would not give this brand another chance.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3B5AZ75RDDUJ0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 28, 2022","welkin168","yes","yes","only 9 days this item broken!","Im get this product at 2week ago ,in 8/18 installed by labor cost (front and rear camera connection for truck) $160 ,and for 24 H parking buy battery cable conneter $15 and labor fee $55 total spend $230 for install fee ,today Im find the camera LCD screen fall off, im need return this ASAP,  please contact me ,im ready this for camping plan have to delay and changed ,thanks",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3MU7BWCI3Z6EA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
