"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on April 30, 2025","Jeremy","-","yes","Works great!","So this is a pretty awesome device that you can install over your current rearview mirror and it is astonishing. It actually has a full screen rear view from your camera unlike similar models that only have a partial screen. Secondly it has the front camera that can also record all events. So far I have enjoyed all of the time setting it up and it only took me about an hour. It does include some wiring information and you can easily look at it's set up in the Amazon page as well. You may need to buy an extended wiring connection depending on your needs. Other wise this front and back camera recording device is absolutely awesome! I would suggest this purchase for front and rear viewing as long as you are able to set it up correctly. It takes a little trial and error depending on the vehicle that you are using it on. So far do good and worth the price  if there is ever an accident that isn't your fault. I gave this a 4 out of 5 star rating because I think that for the amount charged there should be an included wiring harness to connect the rear camera. Other wise this would be 5 out of 5.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3FLL8K8CRMFYZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on May 25, 2025","Must buy ❤️ ","yes","yes","Hard to use at night","The camera works great during the day. However, for the price I paid for this. You would think they have a better night vision. It was very distracting driving with all the glares from the lights. I couldn't really see the cars behind me. Made it harder to drive. probably buy a different product and save some money.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3JX4O65OIZLL7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on June 5, 2025","Nguyen","yes","yes","Great dashcam and customer services. Highly recommend","My pictures are not as clear as the one from this dashcam, overall great brightness, super fast connection via wifi, perfect feature to play footage from the same screen, my suggestion to improve would be to cut the long cable for GPS, bulky and useless, all you need is a smaller cable or to attache it to the screen, the other one is the daytime glare because of the screen it's super shine and creates a glare, and I would rethink the rearview camera mounting mechanism with a pressure ball instead of metal brackets with tine screws that can't tighten much, overall very satisfied and surprised, great camera and price doesn't justify. Highly recommend it!",5,"https://m.media-amazon.com/images/I/61V4VjNRl2L.jpg , https://m.media-amazon.com/images/I/61XKv6ZQXkL.jpg , https://m.media-amazon.com/images/I/61dTnXwH6NL.jpg , https://m.media-amazon.com/images/I/712nUwds9kL.jpg , https://m.media-amazon.com/images/I/71oOzpuT+WL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1A52KH7NS32C1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on April 25, 2025","Edward G.","yes","yes","better camera with a bigger screen","I have a few cameras before, but this camera is better. good picture quality, bigger screen, not hard to install, wifi connection is strong. I like the features it provides.  I hope it will last long.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R29SLQ6OIQUX59/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on April 20, 2025","LR","-","yes","Dashcam","Now that a lot of us are commuting back and forth to work again, we are back to being subjected to the dangers of daily driving.  Without going on a long rant, there are some not so intelligent drivers out there. So, it’s up to us to protect ourselves.  That’s why I ordered this dash Cam.  Not only does it help keep an eye on the “people” in front of me but with the backup camera, it helps me from becoming one of “those people”. The unit boasts voice control and 5g wifi, but it also includes a 64gb card, gps and parking monitoring. I love it because I feel like it adds a layer of protection from potential fraudulent drivers.The voice commands are awesome (and totally cool) -- it impresses those in the car as well.  Like the alerts.Hopefully I don't end up having an accident but in the event that I do and there is a doubt of fault then I feel comfortable having the dashcam.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3MJ27HKX3FX9Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on May 4, 2025","Jack ","yes","yes","good","his dash cam has exceeded all my expectations and is one of the best purchases I’ve made for my car. The video quality is excellent—crystal clear during the day and surprisingly sharp even at night. The wide-angle lens captures everything on the road, including the sides, which gives me peace of mind while driving. Installation was quick and easy, and the instructions were very clear. It mounted securely on my windshield and stays in place without any issues.The loop recording and G-sensor features work flawlessly. I’ve already had an instance where someone cut me off and suddenly braked, and the dash cam automatically saved the footage. That video could be crucial for insurance claims. I also love that it starts recording automatically when I start the car, so I don’t have to think about it every time.The build quality feels solid and reliable, and the user interface is simple to navigate. I’ve recommended this dash cam to several friends already, and they’re just as impressed. If you're looking for a dependable, high-quality dash cam at a reasonable price, look no further. This one has everything you need. Five stars, highly recommended!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1FFHMNHOV4RVJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on April 25, 2025","Y. T","yes","yes","vedio quality is good","The video quality is good, and the user manual is very easy to follow. The touchscreen mirror is very easy to set up.",5,"https://m.media-amazon.com/images/I/61H0iHjbsgL.jpg , https://m.media-amazon.com/images/I/71SYZIsZvsL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1S1C5DNZKVGVU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on April 24, 2025","Aboy","yes","yes","Great dashcam with driver assistance alert!","The Azdome pg17 dashcam has so many features that I like. First of all, it has the Driver Assistance which is a alert system based on the camera to warn possible accidents. It works well in my testing. If you don't want to replace your beloved old cars, I think this is super useful.  Secondly, it has both the front and read camera, which can capture footages from the back in case our cars are rearended. The video quality is readk 4k, crytal clear. Last but not the least, the installation is the same as other dashcam, it does take time and patience but it's worth the effort in the end, you can refer to the video tutorial to make is easier, you can buy a installation kit to wire from the car battery instead of the 12v power outlet. Highly recommended.",5,"https://m.media-amazon.com/images/I/61U8gRey+zL.jpg","-","https://www.amazon.com/gp/customer-reviews/RWRSHNL28FLRP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on April 24, 2025","Johan moreno","yes","yes","El 4k es real","Usando en un toyota prius c 2015 tenía mis dudas sobre su instalación, sorpresa fue fácil la resolución es buena y la pantalla fácil de manipular buena detección de los coches, solo un detalle debería tener función espejo",5,"https://m.media-amazon.com/images/I/81Idc7sjqCL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2D3TI3X8EF07T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
"Reviewed in the United States on April 22, 2025","T. Yoshida","yes","yes","The best dash cam","My wife has similar dash cam so I wanted to get one. This dash cam doesn't not just record but highlights the car behind you with a green square. It does a great job. Also, it warns a car that's in the blind spot.",5,"https://m.media-amazon.com/images/I/71BJham8M7L.jpg","-","https://www.amazon.com/gp/customer-reviews/R3IN2OIG4DTYIE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0DYV5YQ1Y","-","-"
