"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Vantrue N5 4 Channel WiFi 360° All Sides Dash Cam, STARVIS 2, IR Night Vision, 2.7K+1080P*3 Front Rear Inside Dashcam, Voice Control, GPS, 24 Hours Buffered Parking Mode Dash Camera, Support 512GB Max","B0C58H2CSP","https://www.amazon.com/dp/B0C58H2CSP?psc=1","https://m.media-amazon.com/images/I/71+xgHE33yL._AC_SX342_.jpg","VANTRUE",399.99,"1,659","1,566","1,000","618,171.56","581,618.9",200,"1,818","CN",38.04,1,4.4,"1,472",9,"N/A","VANTRUE","Electronics","Large Standard-Size","FBA","7.48 x 3.82 x 5.63 in",2.29,"N/A","Oct 11, 2023","Sponsored Brand","No",20,"VANTRUE"
2.,"Vantrue E2 Dash Cam Front and Rear, 2.7K Upgrade Rear Cam, Dual STARVIS, 2.7K + 2.7K Dash Camera for Cars, Voice Control, WiFi, GPS, Night Vision, 24H Parking Mode, G-Sensor, 2.45"" IPS, Support 512GB","B0B6B6RQT1","https://www.amazon.com/dp/B0B6B6RQT1?psc=1","https://m.media-amazon.com/images/I/71FFOuv9kCL._AC_SX679_.jpg","VANTRUE",195.99,559,557,400,"101,161.48","100,697.62",199,"6,486","CN",21.56,1,4.3,"1,053",9,16,"VANTRUE","Electronics","Large Standard-Size","FBA","5.67 x 3.98 x 5.31 in",1.98,"N/A","Aug 4, 2022","Sponsored Brand","No",34,"VANTRUE"
3.,"Vantrue E1 Lite 1080P WiFi Mini Dash Cam with GPS and Speed, Free App, Voice Control Detachable Dash Camera, 24 Hours Parking Mode, Night Vision, Motion Detection, Loop Recording, Support 512GB Max","B0BGGGG4VW","https://www.amazon.com/dp/B0BGGGG4VW?psc=1","https://m.media-amazon.com/images/I/71M4EZ0PmeL._AC_SX342_.jpg","VANTRUE",71.97,"1,013",866,500,"90,743.78","72,929.58",197,"5,297","CN",11.75,1,4.2,"1,600",9,24,"VANTRUE","Electronics","Large Standard-Size","FBA","5.39 x 2.44 x 5.16 in",0.86,"N/A","Nov 1, 2022","Sponsored Brand","No",31,"VANTRUE"
4.,"($) 4K Dash Cam Front and Rear, 170° Ultra Wide Dashcam with ADAS, Night Vision, 24/7 Parking Mode, Sony IMX415 Sensor, WDR, Free 64GB SD Card, 5G/2.4G WiFi, Built-in GPS, Loop Recording","B0CVXGGHVV","https://www.amazon.com/dp/B0CVXGGHVV?psc=1","https://m.media-amazon.com/images/I/41m-LsiTM5L._AC_SX385_.jpg","BOTSLAB",99.47,"1,468","1,441","1,000","182,770.01","179,262.63",182,"1,114","HK",13.59,3,4.4,"1,395",9,116,"Botslab Security","Electronics","Large Standard-Size","FBA","6.02 x 3.90 x 5.39 in",1.57,"N/A","Feb 22, 2024","Sponsored","No",16,"Botslab Security"
5.,"($) VANTRUE N4 3 Channel Dash Cam, 4K+1080P Dual Channel, 1440P+1440P+1080P Front Inside Rear Three Way Triple Car Dash Camera, IR Night Vision, Capacitor, 24 Hours Parking Mode, Support 256GB Max","B083V6K8RH","https://www.amazon.com/dp/B083V6K8RH?psc=1","https://m.media-amazon.com/images/I/71a0J+8FRkL._AC_SX342_.jpg","VANTRUE",259.99,"1,973","1,973","1,000","479,640.56","479,686.31",192,"1,875","CN",26.57,1,4.2,"10,415",9,47,"VANTRUE","Electronics","Large Standard-Size","FBA","5.71 x 4.29 x 5.31 in",1.98,"N/A","Jan 21, 2020","Sponsored","No",65,"VANTRUE"
6.,"REDTIGER Dash Cam Front Rear, 4K/2.5K Full HD Dash Camera for Cars, Included 32GB Card, Built-in Wi-Fi GPS, APP Control, 3.18"" IPS Screen, Night Vision, Wide Angle, WDR, 24H Parking Mode(F7NP)","B098WVKF19","https://www.amazon.com/dp/B098WVKF19?psc=1","https://m.media-amazon.com/images/I/71hLmfRBteL._AC_SY355_.jpg","REDTIGER",89.99,"15,363","15,324","10,000","1,735,608.01","1,731,737.53",192,22,"CN",12.72,8,4.2,"16,595",7,703,"REDTIGER-Direct","Electronics","Large Standard-Size","FBA","7.91 x 2.95 x 6.73 in",1.61,"N/A","Aug 23, 2021",,"No",46,"REDTIGER-Direct"
7.,"ROVE R2-4K DUAL Dash Cam Front and Rear, STARVIS 2 Sensor, FREE 128GB Card Included, 5G WiFi - up to 20MB/s Fastest Download Speed with App, 4K 2160P/FHD Dash Camera for Cars, 3"" IPS, 24H Parking Mode","B0D6J5B98H","https://www.amazon.com/dp/B0D6J5B98H?psc=1","https://m.media-amazon.com/images/I/81gIn+MXtyL._AC_SX466_.jpg","ROVE",129.99,"13,732","13,712","10,000","1,806,187.58","1,803,582.73",200,121,"US",16.38,4,4.5,"4,469",9,595,"ROVE Dash Cam","Electronics","Large Standard-Size","FBA","8.07 x 3.23 x 6.22 in",2.03,"N/A","Jul 15, 2024",,"No",11,"ROVE Dash Cam"
8.,"3 Channel WiFi Dash Cam Front and Rear Inside with 64GB SD Card, 2.5K+1080P+1080P Car Dash Camera for Cars Front and Rear, Dashcam with G-Sensor, Loop Recording, 24H Parking Mode, Support 512GB","B0F2FQBKC3","https://www.amazon.com/dp/B0F2FQBKC3?psc=1","https://m.media-amazon.com/images/I/71k4ltf2R-L._AC_SX425_.jpg","galphi",52.49,651,636,500,"43,713.8","42,659.62",193,"3,578","CN",9.3,1,5,120,9,90,"Galphi","Electronics","Large Standard-Size","FBA","6.30 x 2.80 x 6.26 in",1.08,"N/A","Mar 25, 2025",,"No",3,"Galphi"
9.,"($) VANTRUE N4 3 Channel Dash Cam, 4K+1080P Dual Channel, 1440P+1440P+1080P Front Inside Rear Three Way Triple Car Dash Camera, IR Night Vision, Capacitor, 24 Hours Parking Mode, Support 256GB Max","B083V6K8RH","https://www.amazon.com/dp/B083V6K8RH?psc=1","https://m.media-amazon.com/images/I/71a0J+8FRkL._AC_SX342_.jpg","VANTRUE",259.99,"1,973","1,973","1,000","479,640.56","479,686.31",192,"1,875","CN",26.57,1,4.2,"10,415",9,47,"VANTRUE","Electronics","Large Standard-Size","FBA","5.71 x 4.29 x 5.31 in",1.98,"N/A","Jan 21, 2020","Sponsored","No",65,"VANTRUE"
10.,"($) Vantrue N4 Pro 4K 3 Channel Dash Cam, STARVIS 2 IMX678 x PlatePix™ x HDR Night Vision, 4K+1080P+1080P Front Inside and Rear Dash Camera, Voice Control, WiFi, GPS, 24H Parking Mode, Support 512GB Max","B0C3M7HPRT","https://www.amazon.com/dp/B0C3M7HPRT?psc=1","https://m.media-amazon.com/images/I/71YPrV9t3FL._AC_SX679_.jpg","VANTRUE",379.99,"1,896","1,874","1,000","650,029.36","641,710.78",198,"1,963","CN",36.27,1,4.4,"2,097",9,"N/A","VANTRUE","Electronics","Large Standard-Size","FBA","6.97 x 3.86 x 5.71 in",2.18,"N/A","Jun 12, 2023","Sponsored","No",24,"VANTRUE"
